,Gompertz,Logistic,Richards,Von-Bert,MMF
733,91.59734937,79.55604133,3142,96.288032,105.7582854
734,89.64373109,78.04710377,3142,94.15094497,102.8942419
735,87.69693805,76.54686977,3142,92.01979606,100.0327199
736,85.75695153,75.05529832,3142,89.89457224,97.1737154
737,83.8237528,73.57234843,3142,87.77526045,94.31722471
738,81.89732316,72.09797925,3142,85.66184764,91.46324396
739,79.97764391,70.63214996,3142,83.55432079,88.61176936
740,78.06469635,69.17481987,3142,81.45266686,85.7627971
741,76.15846182,67.72594833,3142,79.35687281,82.9163234
742,74.25892164,66.2854948,3142,77.26692564,80.07234448
743,72.36605716,64.85341883,3142,75.18281232,77.23085658
744,70.47984973,63.42968004,3142,73.10451984,74.39185593
745,68.60028072,62.01423816,3142,71.0320352,71.55533878
746,66.7273315,60.60705298,3142,68.9653454,68.72130139
747,64.86098347,59.20808441,3142,66.90443745,65.88974002
748,63.00121802,57.81729245,3142,64.84929835,63.06065095
749,61.14801659,56.43463718,3142,62.79991514,60.23403046
750,59.30136059,55.06007879,3142,60.75627484,57.40987484
751,57.46123148,53.69357755,3142,58.71836449,54.5881804
752,55.62761071,52.33509384,3142,56.68617112,51.76894344
753,53.80047976,50.98458814,3142,54.65968179,48.95216028
754,51.97982012,49.64202101,3142,52.63888356,46.13782725
755,50.16561329,48.30735315,3142,50.62376348,43.32594068
756,48.3578408,46.98054531,3142,48.61430864,40.5164969
757,46.55648417,45.6615584,3142,46.61050612,37.70949229
758,44.76152498,44.35035338,3142,44.612343,34.90492318
759,42.97294478,43.04689135,3142,42.61980638,32.10278596
760,41.19072517,41.7511335,3142,40.63288338,29.30307699
761,39.41484774,40.46304113,3142,38.6515611,26.50579267
762,37.64529414,39.18257566,3142,36.67582668,23.71092938
763,35.88204599,37.9096986,3142,34.70566724,20.91848352
764,34.12508496,36.64437157,3142,32.74106993,18.12845151
765,32.37439272,35.38655632,3142,30.78202191,15.34082977
766,30.62995099,34.13621469,3142,28.82851033,12.55561471
767,28.89174147,32.89330864,3142,26.88052237,9.77280277
768,27.1597459,31.65780025,3142,24.93804521,6.992390395
769,25.43394604,30.4296517,3142,23.00106605,4.214374033
770,23.71432368,29.20882528,3142,21.06957208,1.438750142
771,22.0008606,27.99528343,3142,19.14355053,-1.334484812
772,20.29353864,26.78898866,3142,17.22298861,-4.105334356
773,18.59233962,25.58990362,3142,15.30787357,-6.873802006
774,16.89724543,24.39799108,3142,13.39819264,-9.639891274
775,15.20823793,23.21321392,3142,11.49393309,-12.40360566
776,13.52529904,22.03553514,3142,9.595082178,-15.16494866
777,12.84841069,21.86491785,3143,8.70162719,-16.92392377
778,11.17755483,20.7013253,3143,6.813555416,-19.68053445
779,9.512713441,19.54472085,3143,4.930854159,-22.43478418
780,7.853868513,18.39506797,3143,3.053510734,-25.18667642
781,6.201002072,17.25233026,3143,1.181512466,-27.93621463
782,4.554096165,16.11647146,3143,-0.685153304,-30.68340226
783,2.913132861,14.98745539,3143,-2.546499227,-33.42824274
784,1.278094255,13.86524603,3143,-4.402537939,-36.17073951
785,-0.351037535,12.74980748,3143,-6.253282065,-38.91089599
786,-1.974280365,11.64110393,3143,-8.098744216,-41.6487156
787,-3.591652066,10.53909975,3143,-9.938936992,-44.38420175
788,-5.203170446,9.44375938,3143,-11.77387298,-47.11735784
789,-6.808853284,8.355047419,3143,-13.60356475,-49.84818726
790,-8.408718337,7.27292858,3143,-15.42802486,-52.5766934
791,-10.00278333,6.197367704,3143,-17.24726587,-55.30287964
792,-11.59106597,5.128329758,3143,-19.06130029,-58.02674934
793,-13.17358394,4.065779835,3143,-20.87014067,-60.74830589
794,-14.75035487,3.009683158,3143,-22.67379949,-63.46755262
795,-16.32139641,1.960005073,3143,-24.47228926,-66.18449289
796,-17.88672613,0.916711058,3143,-26.26562245,-68.89913004
797,-19.44636162,-0.120233284,3143,-28.05381152,-71.61146741
798,-21.0003204,-1.15086222,3143,-29.83686894,-74.32150832
799,-22.54862001,-2.175209887,3143,-31.61480713,-77.02925609
800,-24.09127792,-3.193310296,3143,-33.38763852,-79.73471403
801,-25.62831159,-4.205197327,3143,-35.15537551,-82.43788546
802,-27.15973844,-5.210904731,3143,-36.91803051,-85.13877366
803,-28.68557589,-6.210466129,3143,-38.67561588,-87.83738193
804,-30.20584131,-7.203915012,3143,-40.428144,-90.53371354
805,-31.72055203,-8.19128474,3143,-42.1756272,-93.22777179
806,-33.22972537,-9.172608545,3143,-43.91807784,-95.91955993
807,-34.73337862,-10.14791953,3143,-45.65550822,-98.60908122
808,-36.23152904,-11.11725065,3143,-47.38793065,-101.2963389
809,-37.72419385,-12.08063476,3143,-49.11535742,-103.9813363
810,-39.21139024,-13.03810457,3143,-50.8378008,-106.6640766
811,-40.69313539,-13.98969264,3143,-52.55527306,-109.344563
812,-42.16944643,-14.93543142,3143,-54.26778643,-112.0227987
813,-43.64034047,-15.87535322,3143,-55.97535314,-114.6987871
814,-45.10583459,-16.80949024,3143,-57.67798541,-117.3725312
815,-46.56594582,-17.73787451,3143,-59.37569542,-120.0440343
816,-48.02069119,-18.66053796,3143,-61.06849537,-122.7132996
817,-49.47008768,-19.57751236,3143,-62.7563974,-125.3803303
818,-50.91415224,-20.48882939,3143,-64.43941368,-128.0451296
819,-52.3529018,-21.39452055,3143,-66.11755633,-130.7077006
820,-53.78635324,-22.29461725,3143,-67.79083746,-133.3680466
821,-55.21452342,-23.18915073,3143,-69.45926918,-136.0261706
822,-56.63742918,-24.07815213,3143,-71.12286357,-138.6820758
823,-58.0550873,-24.96165244,3143,-72.7816327,-141.3357655
824,-59.46751456,-25.83968253,3143,-74.43558861,-143.9872427
825,-60.87472767,-26.71227311,3143,-76.08474333,-146.6365105
826,-62.27674335,-27.5794548,3143,-77.72910889,-149.2835722
827,-63.67357825,-28.44125806,3143,-79.36869727,-151.9284308
828,-65.06524902,-29.29771322,3143,-81.00352047,-154.5710894
829,-66.45177226,-30.14885048,3143,-82.63359045,-157.2115511
830,-62.83316452,-25.99469992,3148,-79.25891916,-154.8498192
831,-64.20944236,-26.83529147,3148,-80.87951852,-157.4858965
832,-65.58062228,-27.67065495,3148,-82.49540045,-160.1197863
833,-66.94672074,-28.50082002,3148,-84.10657685,-162.7514917
834,-72.30775418,-33.32581624,3144,-89.71305959,-169.3810156
835,-73.66373901,-34.145673,3144,-91.31486054,-172.0083612
836,-75.0146916,-34.9604196,3144,-92.91199155,-174.6335315
837,-76.36062828,-35.77008518,3144,-94.50446443,-177.2565297
838,-77.70156536,-36.57469876,3144,-96.09229099,-179.8773586
839,-79.03751911,-37.37428923,3144,-97.67548303,-182.4960215
840,-80.36850576,-38.16888534,3144,-99.25405232,-185.1125213
841,-81.69454151,-38.95851572,3144,-100.8280106,-187.726861
842,-83.01564254,-39.74320886,3144,-102.3973697,-190.3390437
843,-84.33182497,-40.52299313,3144,-103.9621412,-192.9490724
844,-85.64310491,-41.29789676,3144,-105.5223368,-195.5569501
845,-86.94949842,-42.06794785,3144,-107.0779683,-198.1626799
846,-88.25102154,-42.83317438,3144,-108.6290473,-200.7662646
847,-89.54769025,-43.59360419,3144,-110.1755855,-203.3677074
848,-90.83952052,-44.349265,3144,-111.7175945,-205.9670111
849,-92.12652827,-45.10018438,3144,-113.2550858,-208.5641788
850,-93.40872941,-45.84638979,3144,-114.7880712,-211.1592135
851,-94.68613978,-46.58790856,3144,-116.3165621,-213.7521181
852,-95.9587752,-47.32476789,3144,-117.8405701,-216.3428956
853,-97.22665147,-48.05699484,3144,-119.3601067,-218.9315489
854,-98.48978434,-48.78461635,3144,-120.8751835,-221.518081
855,-99.74818952,-49.50765924,3144,-122.385812,-224.1024948
856,-101.0018827,-50.22615018,3144,-123.8920037,-226.6847933
857,-102.2508795,-50.94011573,3144,-125.3937699,-229.2649794
858,-103.4951956,-51.64958233,3144,-126.8911222,-231.843056
859,-104.7348465,-52.35457627,3144,-128.3840719,-234.419026
860,-105.9698477,-53.05512372,3144,-129.8726306,-236.9928924
861,-107.2002149,-53.75125073,3144,-131.3568095,-239.564658
862,-108.4259634,-54.44298323,3144,-132.83662,-242.1343258
863,-109.6471086,-55.130347,3144,-134.3120735,-244.7018987
864,-110.863666,-55.81336771,3144,-135.7831812,-247.2673795
865,-112.075651,-56.49207091,3144,-137.2499546,-249.8307711
866,-113.2830788,-57.16648201,3144,-138.7124049,-252.3920764
867,-114.4859647,-57.83662631,3144,-140.1705434,-254.9512983
868,-115.6843241,-58.50252897,3144,-141.6243813,-257.5084396
869,-116.8781721,-59.16421503,3144,-143.0739298,-260.0635032
870,-118.0675238,-59.82170941,3144,-144.5192002,-262.6164919
871,-119.2523945,-60.47503691,3144,-145.9602036,-265.1674087
872,-120.4327993,-61.12422219,3144,-147.3969513,-267.7162562
873,-119.6087532,-59.7692898,3146,-146.8294543,-268.2630375
874,-120.7802712,-60.41026417,3146,-148.2577239,-270.8077552
875,-121.9473684,-61.0471696,3146,-149.681771,-273.3504123
876,-123.1100598,-61.68003026,3146,-151.1016069,-275.8910115
877,-123.2683602,-61.30887022,3147,-151.5172426,-277.4295556
878,-124.4222845,-61.9337134,3147,-152.9286892,-279.9660475
879,-125.5718476,-62.55458363,3147,-154.3359576,-282.50049
880,-126.7170644,-63.17150458,3147,-155.7390589,-285.0328858
881,-127.8579495,-63.78449985,3147,-157.1380042,-287.5632377
